tool,nthreads,size,repetitions,usec
Pthreads,1,2000000,1000,7185334
Pthreads,2,1000000,1000,4382029
Pthreads,4,500000,1000,3840643
Pthreads,8,250000,1000,3759694
Pthreads,1,2000000,500,3614534
Pthreads,2,1000000,500,2210936
Pthreads,4,500000,500,1731452
Pthreads,8,250000,500,1768344
Pthreads,1,1000000,1000,3599040
Pthreads,2,500000,1000,2171332
Pthreads,4,250000,1000,1761621
Pthreads,8,125000,1000,1817390
Pthreads,1,1000000,500,1804996
Pthreads,2,500000,500,1058902
Pthreads,4,250000,500,880400
Pthreads,8,125000,500,874679
Pthreads,1,10000,1000,36373
Pthreads,2,5000,1000,26790
Pthreads,4,2500,1000,15391
Pthreads,8,1250,1000,16033
Pthreads,1,10000,500,19419
Pthreads,2,5000,500,13344
Pthreads,4,2500,500,10417
Pthreads,8,1250,500,9811
OpenMP,1,2000000,1000,7858586.55
OpenMP,2,1000000,1000,28411493.3
OpenMP,4,500000,1000,39170644.45
OpenMP,8,250000,1000,48479111.75
OpenMP,1,2000000,500,3935220.2
OpenMP,2,1000000,500,14420895.7
OpenMP,4,500000,500,19722107.15
OpenMP,8,250000,500,24671439.55
OpenMP,1,1000000,1000,3880190
OpenMP,2,500000,1000,11877584
OpenMP,4,250000,1000,19199880
OpenMP,8,125000,1000,25076581
OpenMP,1,1000000,500,1938680
OpenMP,2,500000,500,6720134
OpenMP,4,250000,500,8556427
OpenMP,8,125000,500,11802060
OpenMP,1,10000,1000,41117.65
OpenMP,2,5000,1000,133861.1
OpenMP,4,2500,1000,210092.4
OpenMP,8,1250,1000,411186.35
OpenMP,1,10000,500,20599.95
OpenMP,2,5000,500,68650.65
OpenMP,4,2500,500,110797.4
OpenMP,8,1250,500,206018.5

